,group,timestamp,name,items,week_num,items_recipe_num,pk,num_missing_Dish,num_bad_units,num_missing_FDA,bad_units
78,dinner,2022-03-25 16:30:00Z,"Dinner on Friday, March 25, 2022","[1042, 1383, 1276, 1432, 1417, 1419, 1363, 1360, 1372, 1179, 1040, 1457]",11,"['105362.5', '112586', '102526', '102498', '102289', '100190.3', '41281.11', '22160', '60967.2', '10820.1', '122828.3', '103522', '110645', '35089', '35016.1', '100715.3', '32811', '66246.8', '68052', '102407', '44726.1', '82258.7', '14920', '103643.1', '102671', '68050.4', '14387', '6867', '102663', '29124.1', '103486.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1078,48,12.0,36.0,"['1 each', '1 each', '1/2 ucp', '3 oz portion', '1 each', '1 sandwich', '1 sandwich', '1 each', '1 slice', '1 each', '1 slice', '1 each']"
79,lunch,2022-03-25 11:00:00Z,"Lunch on Friday, March 25, 2022","[1141, 1021, 1470, 1522, 1508, 1458, 1460, 1456, 1344, 1364, 1457]",11,"['20764.14', '61177', '75890', '5496.3', '5859.11', '130431', '47482.1', '126355.3', '105740', '40429', '102303', '1486.9', '17727.2', '14387', '6867', '102663', '29124.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1079,35,3.0,32.0,"['1 each', '1 plate', '1 each']"
80,afterlunch,2022-03-26 14:30:00Z,"Afterlunch on Saturday, March 26, 2022",[],11,"['102407', '44726.1', '82258.7', '14920']",1080,4,0.0,4.0,
81,breakfast,2022-03-26 07:30:00Z,"Breakfast on Saturday, March 26, 2022","[1030, 1321, 1315, 1026]",11,"['2032.23', '129848', '138786', '78840.1', '43721', '74516']",1081,2,2.0,0.0,"['2 each', '2 slice']"
82,dinner,2022-03-26 16:30:00Z,"Dinner on Saturday, March 26, 2022","[1376, 1183, 1029, 1144, 1427, 1385, 1028, 1368, 1342, 1352, 1332, 1043]",11,"['31233.7', '129842.1', '102964', '8621', '102199', '79439', '54590', '117005', '31169.3', '110317.1', '57449.10', '553.15', '30398.3', '10664.6', '106421', '15994', '138956', '103635', '102407', '44726.1', '82258.7', '14920', '103574.1', '103624.1', '102801']",1082,13,9.0,4.0,"['1 slice', '1 piece', '1 each', '1/2 each', '1/2 each', '1 slice', '1 slice', '1 slice', '1 slice']"
83,lunch,2022-03-26 11:00:00Z,"Lunch on Saturday, March 26, 2022","[1158, 1484, 1032, 1276, 1184, 1152, 1513, 1453, 1074, 1098, 1444, 1332]",11,"['22587.7', '103771', '103326', '103333', '102289', '344.11', '123726', '8060.6', '59470', '5912.12', '103834', '33992.71', '102405', '106421']",1083,2,2.0,0.0,"['1 each', '1 ladle-2oz']"
84,afterlunch,2022-03-27 14:30:00Z,"Afterlunch on Sunday, March 27, 2022",[],12,"['102407', '44726.1', '14920', '82258.7']",1084,4,0.0,4.0,
85,breakfast,2022-03-27 07:30:00Z,"Breakfast on Sunday, March 27, 2022","[1030, 1037, 1316, 1034, 1028, 1008, 1404, 1317]",12,"['2032.23', '105032', '138787', '1125.10', '1178.9', '31169.3', '29729.9', '139524', '19214.2', '139278', '1125.10', '3619', '69553', '36205']",1085,6,6.0,0.0,"['2 each', '1 each', '2 each', '3 each', '1 each', '1 ladle-2oz']"
86,dinner,2022-03-27 16:30:00Z,"Dinner on Sunday, March 27, 2022","[1426, 1428, 1422, 1431, 1357, 1330, 1371, 1335, 1370, 1047, 1045]",12,"['2402.13', '103399', '123763.2', '140061', '119131.3', '18314.4', '103139', '62161', '102330.1', '102358', '98833', '100472', '129140', '102407', '14920', '44726.1', '82258.7', '103643.1', '102815', '103581.1']",1086,9,5.0,4.0,"['1 sandwich', '1 sandwich', '1 slice', '1 piece', '1 piece']"
87,lunch,2022-03-27 11:00:00Z,"Lunch on Sunday, March 27, 2022","[1475, 1468, 1383, 1492, 1302, 1450, 1054, 1454, 1335, 1370]",12,"['103695', '16861.2', '110115.2', '102498', '103200', '1105', '105622', '80589.5', '87637', '85896', '2296', '10632.5', '50923.10', '94796.1', '62161', '102330.1']",1087,6,3.0,0.0,"['1 serving(s)', '1 ladle-2oz', '1 each']"
88,afterlunch,2022-03-28 14:30:00Z,"Afterlunch on Monday, March 28, 2022","[1191, 1047]",12,"['49663.1', '21527', '98833', '102407', '44726.1', '82258.7', '14920', '103630.1', '103412', '112307', '4515.3']",1088,9,5.0,4.0,"['1/2 sandwich', '1 slice', '1 each', '1 slice', '1 sandwich']"
89,breakfast,2022-03-28 07:30:00Z,"Breakfast on Monday, March 28, 2022","[1030, 1319, 1037, 1317, 1324, 1003, 1398, 1411, 1222, 1381, 1409, 1394]",12,"['2032.23', '3652', '105032', '138894.6', '8735', '139278', '1011', '139032', '128444', '10895.16', '49508', '101498', '4957', '123728', '5401.9']",1089,3,3.0,0.0,"['2 each', '3 slice', '1 plate']"
90,dinner,2022-03-28 16:30:00Z,"Dinner on Monday, March 28, 2022","[1416, 1423, 1135, 1340, 1150, 1249, 1336, 1350, 1052, 1457]",12,"['123375', '22087.1', '103772', '106632', '59008.1', '16189.2', '112520', '120503', '133176.1', '134256', '4503', '102407', '44726.1', '82258.7', '14920', '103630.1', '103412', '112307', '14387', '6867', '102663', '29124.1', '4515.3', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1090,42,6.0,36.0,"['1 sandwich', '1/2 each', '1 slice', '1 each', '1 slice', '1 sandwich']"
91,lunch,2022-03-28 11:00:00Z,"Lunch on Monday, March 28, 2022","[1494, 1165, 1496, 1456, 1471, 1505, 1510, 1520, 1459, 1283, 1214, 1457, 1112, 1457]",12,"['16856.14', '38405.2', '102608', '102303', '106472', '97343.1', '28963.1', '3634.4', '123296', '1529', '104701.2', '103448', '13404', '5802', '100225.1', '15954.16', '14387', '6867', '102663', '29124.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1091,35,2.0,32.0,"['1/2 each', '2 ounce']"
92,afterlunch,2022-03-29 14:30:00Z,"Afterlunch on Tuesday, March 29, 2022","[1192, 1199, 1201]",12,"['120206', '30876.8', '103749', '6279', '102407', '44726.1', '82258.7', '14920', '103643.1', '103634.1', '103628.2', '7857.2', '113581.1']",1092,10,6.0,4.0,"['1 sandwich', '1 slice', '1 slice', '1 slice', '1 each', '1 sandwich']"
93,breakfast,2022-03-29 07:30:00Z,"Breakfast on Tuesday, March 29, 2022","[1030, 1320, 1033, 1325, 1003, 1377, 1408, 1386, 1152, 1378]",12,"['2032.23', '5457.1', '134654', '122864', '114599', '109492', '69553', '139032', '128444', '32588.3', '39732.7', '98217', '8060.6', '108890']",1093,4,4.0,0.0,"['2 each', '2 each', '1 each', '1 plate']"
94,dinner,2022-03-29 16:30:00Z,"Dinner on Tuesday, March 29, 2022","[1430, 1305, 1421, 1331, 1341, 1101, 1365, 1229, 1048, 1457]",12,"['103647', '10963', '118394', '6948', '47223', '103816', '95402', '103446.3', '28961.1', '2081', '1052.2', '102407', '44726.1', '82258.7', '14920', '103643.1', '103634.1', '103628.2', '7857.2', '14387', '6867', '102663', '29124.1', '113581.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1094,43,7.0,36.0,"['1 serving(s)', '1 serving(s)', '1 slice', '1 slice', '1 slice', '1 each', '1 sandwich']"
95,lunch,2022-03-29 11:00:00Z,"Lunch on Tuesday, March 29, 2022","[1485, 1493, 1029, 1501, 1504, 1438, 1042, 1049, 1350, 1229, 1457]",12,"['142272', '6938.3', '42004.3', '8621', '3872', '4916.3', '58730', '139328', '47064.1', '95398', '102526', '22663.6', '120503', '103446.3', '14387', '6867', '102663', '29124.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1095,36,4.0,32.0,"['1 each', '1 each', '1 ladle-2oz', '6 each']"
96,afterlunch,2022-03-30 14:30:00Z,"Afterlunch on Wednesday, March 30, 2022","[1203, 1194]",12,"['32415.4', '22637', '103920', '102407', '44726.1', '82258.7', '14920', '103574.1', '103620.1', '103644.1', '121472']",1096,9,5.0,4.0,"['1/2 sandwich', '1 slice', '1 slice', '1 slice', '1 sandwich']"
97,breakfast,2022-03-30 07:30:00Z,"Breakfast on Wednesday, March 30, 2022","[1030, 1313, 1027, 1028, 1001, 1273, 1246, 1366, 1401, 1388]",12,"['2032.23', '129565', '22593.7', '5828', '106424', '31169.3', '47130.6', '128444', '122828.2', '80411', '102775', '103697', '126854.1']",1097,3,3.0,0.0,"['2 each', '2 each', '1 plate']"
98,dinner,2022-03-30 16:30:00Z,"Dinner on Wednesday, March 30, 2022","[1424, 1429, 1334, 1304, 1355, 1351, 1044, 1457]",12,"['117879', '24580.4', '8621.22', '4929', '1307.10', '103523', '117998', '55837.1', '45178', '42392.8', '34113', '102407', '44726.1', '82258.7', '14920', '103574.1', '103620.1', '103644.1', '14387', '6867', '102663', '29124.1', '121472', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1098,44,8.0,36.0,"['2 each', '1/2 each', '1 each', '2 each', '1 slice', '1 slice', '1 slice', '1 sandwich']"
99,lunch,2022-03-30 11:00:00Z,"Lunch on Wednesday, March 30, 2022","[1466, 1188, 1487, 1497, 1481, 1516, 1415, 1506, 1449, 1361, 1448, 1439, 1351, 1457]",12,"['3555.17', '117004', '103930', '12946', '103782', '5360.7', '129963', '76164.2', '106468', '725', '103800', '105204', '83792.1', '55837.1', '14387', '6867', '102663', '29124.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1099,33,0.0,32.0,
100,afterlunch,2022-03-31 14:30:00Z,"Afterlunch on Thursday, March 31, 2022","[1158, 1033]",12,"['120723', '103771', '114599', '102407', '44726.1', '82258.7', '14920', '103643.1', '102671', '103586.1', '106089.46', '24779']",1100,10,6.0,4.0,"['1 sandwich', '1 slice', '1 each', '1 slice', '1/2 each', '1 sandwich']"
101,breakfast,2022-03-31 07:30:00Z,"Breakfast on Thursday, March 31, 2022","[1030, 1318, 1014, 1016, 1001, 1402, 1281, 1189, 1101]",12,"['2032.23', '139190', '3619', '57569', '39880', '103422', '611.3', '47130.6', '128444', '123369', '103494', '123072', '103446.1', '103816']",1101,5,5.0,0.0,"['3 each', '2 slice', '1 each', '1 plate', '1/2 each']"
102,dinner,2022-03-31 16:30:00Z,"Dinner on Thursday, March 31, 2022","[1266, 1420, 1413, 1367, 1078, 1335, 1353, 1043, 1457]",12,"['105645', '138566', '24210.1', '24468.9', '123446.3', '28232', '5294.16', '62161', '35831.1', '5541.16', '141888', '138956', '102407', '44726.1', '82258.7', '14920', '103643.1', '102671', '103586.1', '106089.46', '14387', '6867', '102663', '29124.1', '24779', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1102,45,8.0,36.0,"['2 each', '1 each', '1 each', '1 slice', '1 each', '1 slice', '1/2 each', '1 sandwich']"
103,lunch,2022-03-31 11:00:00Z,"Lunch on Thursday, March 31, 2022","[1488, 1489, 1495, 1243, 1099, 1499, 1515, 1517, 1511, 1443, 1445, 1253, 1335, 1353, 1457]",12,"['117901', '1514', '13417', '139280', '102530', '97343.1', '127978', '558.2', '28819', '139037', '103998', '78758', '134325', '62161', '35831.1', '14387', '6867', '102663', '29124.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1103,33,1.0,32.0,['1/2 each']
104,afterlunch,2022-04-01 14:30:00Z,"Afterlunch on Friday, April 01, 2022",[1435],12,"['4451.23', '21182', '110034', '129137', '102407', '44726.1', '82258.7', '14920', '103630.1', '102802', '68050.3', '103486.1']",1104,11,7.0,4.0,"['1/2 sandwich', '1 each', '1 each', '1 slice', '1 piece', '1 slice', '1 each']"
105,breakfast,2022-04-01 07:30:00Z,"Breakfast on Friday, April 01, 2022","[1030, 1031, 1322, 1024, 1407, 1392, 1387]",12,"['2032.23', '5595', '102399', '608', '139321', '103955', '69553', '51287.3', '105425', '29670.1', '30533.1', '104003', '69473']",1105,6,6.0,0.0,"['2 each', '3 slice', '1 each', '1 serving(s)', '1 each', '4 each']"
106,dinner,2022-04-01 16:30:00Z,"Dinner on Friday, April 01, 2022","[1383, 1349, 1079, 1276, 1333, 1338, 1046, 1457]",12,"['130471', '130443', '102498', '100231.1', '80005.2', '117903.1', '102289', '8081.2', '35092.3', '3994.5', '765', '103635', '102407', '44726.1', '82258.7', '14920', '14387', '6867', '102663', '29124.1', '103486.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1106,42,6.0,36.0,"['1 each', '2 each', '1 oz portion', '1/2 each', '1 slice', '1 each']"
107,lunch,2022-04-01 11:00:00Z,"Lunch on Friday, April 01, 2022","[1482, 1476, 1474, 1276, 1512, 1519, 1507, 1441, 1361, 1455, 1333, 1338, 1457]",12,"['23596.13', '103406', '106596', '36567', '102289', '27123', '103474', '18287', '33569.5', '103800', '74515', '8081.2', '35092.3', '14387', '6867', '102663', '29124.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1107,33,1.0,32.0,['1 piece']
108,afterlunch,2022-04-02 14:30:00Z,"Afterlunch on Saturday, April 02, 2022",[],12,"['102407', '44726.1', '82258.7', '14920', '103643.1', '103580.1', '102801']",1108,7,3.0,4.0,"['1 slice', '1 piece', '1 slice']"
109,breakfast,2022-04-02 07:30:00Z,"Breakfast on Saturday, April 02, 2022","[1030, 1323, 1029, 1017, 1390, 1382, 1399, 1135, 1139]",12,"['2032.23', '71291', '102510', '5828', '139272', '8621', '3308.1', '123292', '58730.3', '4489.5', '103772', '28951']",1109,3,3.0,0.0,"['1/2 sandwich', '2 each', '2 each']"
110,dinner,2022-04-02 16:30:00Z,"Dinner on Saturday, April 02, 2022","[1290, 1348, 1074, 1345, 1337, 1346, 1034]",12,"['93541.1', '104007', '83581', '33917', '103834', '119228.1', '5070.1', '104005', '10958', '1178.9', '102407', '44726.1', '82258.7', '14920']",1110,7,3.0,4.0,"['1 serving(s)', '1 slice', '1 each']"
111,lunch,2022-04-02 11:00:00Z,"Lunch on Saturday, April 02, 2022","[1480, 1473, 1467, 1028, 1418, 1521, 1509, 1292, 1440, 1462, 1222, 1337, 1339]",12,"['84777.26', '38115', '88694.1', '103495', '31169.3', '129401', '117594.1', '105418', '87663', '103954', '101976', '101498', '5070.1', '117872']",1111,1,1.0,0.0,['1 Scoop #8']
112,afterlunch,2022-04-03 14:30:00Z,"Afterlunch on Sunday, April 03, 2022",[],13,"['102407', '44726.1', '14920', '82258.7']",1112,4,0.0,4.0,
113,breakfast,2022-04-03 07:30:00Z,"Breakfast on Sunday, April 03, 2022","[1030, 1012, 1022, 1037, 1025]",13,"['2032.23', '18451.22', '616.22', '1125.10', '106415', '105032', '68467.1']",1113,2,2.0,0.0,"['2 each', '2 each']"
114,dinner,2022-04-03 16:30:00Z,"Dinner on Sunday, April 03, 2022","[1395, 1400, 1135, 1391, 1169, 1418, 1177, 1343, 1076, 1102, 1066, 1069, 1047, 1050]",13,"['129192.4', '7831.2', '12946.2', '103772', '103917.2', '138982', '129401', '123763.1', '4696', '102554', '103757', '10514.6', '9285.5', '49200.1', '98833', '35685', '102407', '44726.1', '14920', '82258.7', '103630.1', '103411', '103616.1']",1114,9,5.0,4.0,"['2 each', '1 sandwich', '1 slice', '1 slice', '1 slice']"
115,lunch,2022-04-03 11:00:00Z,"Lunch on Sunday, April 03, 2022","[1272, 1286, 1279, 1278, 1252, 1503, 1296, 1303, 1447, 1233, 1238, 1066, 1223]",13,"['102346', '102070', '102562', '102370', '103607', '78386.9', '137554.1', '102558', '102648', '27441', '999.6', '3978', '10514.6', '63057']",1115,1,2.0,0.0,"['2 each', '1 serving(s)']"
116,afterlunch,2022-04-04 14:30:00Z,"Afterlunch on Monday, April 04, 2022","[1436, 1433]",13,"['36694.2', '8414.39', '45858', '102407', '44726.1', '82258.7', '14920', '103643.1', '102800', '103644.1', '4515.3']",1116,9,5.0,4.0,"['1/2 sandwich', '1 slice', '1 slice', '1 slice', '1 sandwich']"
117,breakfast,2022-04-04 07:30:00Z,"Breakfast on Monday, April 04, 2022","[1030, 1038, 1326, 1020, 1008, 1000]",13,"['2032.23', '105904', '3619', '8735', '55937', '5480.6', '29729.9', '47130.4', '128444']",1117,3,3.0,0.0,"['3 each', '3 slice', '1 plate']"
118,dinner,2022-04-04 16:30:00Z,"Dinner on Monday, April 04, 2022","[1117, 1128, 1163, 1029, 1188, 1167, 1354, 1359, 1099, 1068, 1369, 1457]",13,"['103957.3', '11343.5', '128686', '8621', '142444', '117004', '103930', '4263.13', '101971', '967.1', '103274.1', '102530', '10518.2', '32332.1', '1462.11', '30876', '135004', '102407', '44726.1', '82258.7', '14920', '103643.1', '102800', '103644.1', '14387', '6867', '102663', '29124.1', '4515.3', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1118,46,9.0,36.0,"['1 slice', '1 each', '1/2 sandwich', '4 ounce', '1 serving(s)', '1 slice', '1 slice', '1 slice', '1 sandwich']"
119,lunch,2022-04-04 11:00:00Z,"Lunch on Monday, April 04, 2022","[1250, 1249, 1266, 1244, 1294, 1227, 1220, 1226, 1069, 1068, 1457]",13,"['4617', '118055', '16189.2', '23557', '105645', '117715', '49762', '105575', '41618.7', '102764', '32846', '102055.1', '2070.6', '9285.5', '10518.2', '14387', '6867', '102663', '29124.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1119,37,5.0,32.0,"['2 each', '1 each', '1 each', '1 each', '1 oz portion']"
